"";"p_sr";"p_mr";"p_pr";"p_dt";"p_rf"
"1";23858,0841652126;44860,8097641668;31967,2816147273;35960,8260869565;32465,7113333333
"2";1721,26634734857;3504,31156120966;22337,0744133669;35960,8260869565;32275,8786666667
"3";86117,8842779551;102194,707844469;80639,0810821543;83140,3939393939;72974,1443333333
"4";86117,8842779551;95070,2858652128;80639,0810821543;83140,3939393939;72974,1443333333
"5";29392,2886196786;32799,7036780773;35090,3730763149;35960,8260869565;31591,7405952381
"6";28008,7375060621;31317,12721899;34284,2691968078;35960,8260869565;32181,4823333333
"7";62597,5153464746;60484,4434821078;59060,455856775;57804,4166666667;48023,725047619
"8";65364,6175737076;72831,6389789045;61421,6840468502;57804,4166666667;77901,0306666667
"9";170514,502208562;185507,449869533;176682,302960213;163575,294117647;166574,360333333
"10";41844,2486422271;46142,8918098622;43074,4135708263;35960,8260869565;42508,2456666667
"11";55679,7597783921;52715,424121795;53384,6776856205;57804,4166666667;64557,781031746
"12";88884,9865051881;106288,671062327;83385,4725720452;83140,3939393939;65890,5263333333
"13";75049,4753690231;73827,6316138928;70071,8716690119;57804,4166666667;50381,1206666667
"14";77816,5775962561;86174,8271106895;72648,3913223358;57804,4166666667;59019,5433333333
"15";50145,5553239261;45656,3079857633;49088,2745428038;57804,4166666667;59447,6173333333
"16";32159,3908469116;26382,8140176294;36752,2944067999;35960,8260869565;30464,3232857143
"17";33542,9419605281;27865,3904767167;37607,795705528;35960,8260869565;31410,9392857143
"18";32159,3908469116;26382,8140176294;36752,2944067999;35960,8260869565;30464,3232857143
"19";34926,4930741446;29347,9669358039;38479,4466584133;35960,8260869565;36937,5637539683
"20";79200,1287098726;77919,2239262777;73953,3670143004;83140,3939393939;101191,583333333
"21";97186,2931868871;97192,7178944115;91855,4272255825;83140,3939393939;75147,6306666667
"22";134542,173254533;128969,050010827;133432,479670279;163575,294117647;177773,608666667
"23";135925,724368149;156696,270671292;135056,091763264;163575,294117647;177773,608666667
"24";142843,479936232;137864,50876535;143237,771019406;163575,294117647;142447,621
"25";234157,853434921;227461,322786167;252284,255732056;288374,217036365;282357,931878838
"26";91652,0887324211;91262,4120580626;86171,1704985797;83140,3939393939;101081,354666667
"27";39077,1464149941;43177,7388916878;41189,7166807635;35960,8260869565;41440,0305873016
"28";62597,5153464746;60128,306417231;59060,455856775;57804,4166666667;48023,725047619
"29";25241,6352788291;28351,9743008156;32722,5653898891;35960,8260869565;29614,2052857143
"30";43227,7997558436;39372,23599001;44039,6428500318;57804,4166666667;43046,3576666667
"31";115172,457663902;108212,979583606;111257,8951944;113114,090909091;120879,999
"32";61213,9642328581;49263,6873795216;57899,0078069762;57804,4166666667;48595,1406507936
"33";48762,0042103096;35920,4992477366;48049,4104184331;57804,4166666667;67080,9536666667
"34";25241,6352788291;18969,9317221934;32722,5653898891;35960,8260869565;29614,2052857143
"35";14173,2263698971;16491,3626281179;27172,3206884729;35960,8260869565;34460,0686666667
"36";39077,1464149941;43177,7388916878;41189,7166807635;35960,8260869565;41440,0305873016
"37";68131,7198009406;66058,6122535799;63832,9678500626;57804,4166666667;72230,3022640693
"38";84734,3331643386;83849,5297626265;79281,0204412625;83140,3939393939;69610,7277619048
"39";155295,43995878;151207,696897135;158182,198624207;163575,294117647;155664,612
"40";166363,848867712;163068,308569833;171621,966282993;163575,294117647;218345,407666667
"41";130391,519913683;124521,320633565;128589,936278055;163575,294117647;138186,410285714
"42";130391,519913683;124521,320633565;128589,936278055;163575,294117647;138186,410285714
"43";119323,111004751;112660,708960868;115911,789799485;113114,090909091;137144,163
"44";44611,3508694601;49108,0447280367;45019,9152505201;57804,4166666667;49206,364
